STATION ID,TIME,LAST UPDATED,NAME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE
5,2020-01-01 06:25:02,2020-01-01 06:20:41,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 06:30:02,2020-01-01 06:20:41,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 06:35:02,2020-01-01 06:30:51,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 06:40:03,2020-01-01 06:30:51,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 06:45:02,2020-01-01 06:41:00,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 06:50:02,2020-01-01 06:41:00,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 06:55:02,2020-01-01 06:51:09,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 07:00:02,2020-01-01 06:51:09,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 07:05:02,2020-01-01 07:01:18,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 07:10:02,2020-01-01 07:01:18,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 07:15:02,2020-01-01 07:11:27,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 07:20:02,2020-01-01 07:11:27,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 07:25:02,2020-01-01 07:21:36,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 07:30:02,2020-01-01 07:21:36,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 07:35:02,2020-01-01 07:31:46,CHARLEMONT PLACE,40,33,7,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 07:40:02,2020-01-01 07:35:27,CHARLEMONT PLACE,40,32,8,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 07:45:02,2020-01-01 07:35:27,CHARLEMONT PLACE,40,32,8,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 07:50:02,2020-01-01 07:45:36,CHARLEMONT PLACE,40,32,8,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 07:55:02,2020-01-01 07:50:35,CHARLEMONT PLACE,40,31,9,Open,Charlemont Street,53.330662,-6.260177
5,2020-01-01 08:00:02,2020-01-01 07:50:35,CHARLEMONT PLACE,40,31,9,Open,Charlemont Street,53.330662,-6.260177
