STATION ID,TIME,LAST UPDATED,NAME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE
21,2020-01-01 10:00:02,2020-01-01 09:53:46,LEINSTER STREET SOUTH,30,25,5,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 10:05:02,2020-01-01 10:03:13,LEINSTER STREET SOUTH,30,24,6,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 10:10:02,2020-01-01 10:06:49,LEINSTER STREET SOUTH,30,23,7,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 10:15:02,2020-01-01 10:06:49,LEINSTER STREET SOUTH,30,23,7,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 10:20:02,2020-01-01 10:16:58,LEINSTER STREET SOUTH,30,23,7,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 10:25:02,2020-01-01 10:16:58,LEINSTER STREET SOUTH,30,23,7,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 10:30:02,2020-01-01 10:27:08,LEINSTER STREET SOUTH,30,23,7,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 10:35:02,2020-01-01 10:27:08,LEINSTER STREET SOUTH,30,23,7,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 10:40:27,2020-01-01 10:37:17,LEINSTER STREET SOUTH,30,23,7,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 10:45:02,2020-01-01 10:44:58,LEINSTER STREET SOUTH,30,22,8,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 10:50:02,2020-01-01 10:45:13,LEINSTER STREET SOUTH,30,20,10,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 10:55:02,2020-01-01 10:45:13,LEINSTER STREET SOUTH,30,20,10,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 11:00:02,2020-01-01 10:55:22,LEINSTER STREET SOUTH,30,20,10,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 11:05:02,2020-01-01 10:55:22,LEINSTER STREET SOUTH,30,20,10,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 11:10:02,2020-01-01 11:06:39,LEINSTER STREET SOUTH,30,19,11,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 11:15:03,2020-01-01 11:06:39,LEINSTER STREET SOUTH,30,19,11,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 11:20:02,2020-01-01 11:16:49,LEINSTER STREET SOUTH,30,19,11,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 11:25:02,2020-01-01 11:20:30,LEINSTER STREET SOUTH,30,18,12,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 11:30:02,2020-01-01 11:20:30,LEINSTER STREET SOUTH,30,18,12,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 11:35:02,2020-01-01 11:30:39,LEINSTER STREET SOUTH,30,18,12,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 11:40:02,2020-01-01 11:30:39,LEINSTER STREET SOUTH,30,18,12,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 11:45:02,2020-01-01 11:40:48,LEINSTER STREET SOUTH,30,18,12,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 11:50:02,2020-01-01 11:45:11,LEINSTER STREET SOUTH,30,17,13,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 11:55:02,2020-01-01 11:45:11,LEINSTER STREET SOUTH,30,17,13,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 12:00:02,2020-01-01 11:55:20,LEINSTER STREET SOUTH,30,17,13,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 12:05:02,2020-01-01 11:55:20,LEINSTER STREET SOUTH,30,17,13,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 12:10:02,2020-01-01 12:05:29,LEINSTER STREET SOUTH,30,17,13,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 12:15:02,2020-01-01 12:05:29,LEINSTER STREET SOUTH,30,17,13,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 12:20:02,2020-01-01 12:19:36,LEINSTER STREET SOUTH,30,16,14,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 12:25:02,2020-01-01 12:19:36,LEINSTER STREET SOUTH,30,16,14,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 12:30:03,2020-01-01 12:27:11,LEINSTER STREET SOUTH,30,15,15,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 12:35:02,2020-01-01 12:27:11,LEINSTER STREET SOUTH,30,15,15,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 12:40:02,2020-01-01 12:37:21,LEINSTER STREET SOUTH,30,15,15,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 12:45:02,2020-01-01 12:43:42,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 12:50:02,2020-01-01 12:43:42,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 12:55:02,2020-01-01 12:53:51,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 13:00:02,2020-01-01 12:53:51,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 13:05:02,2020-01-01 13:04:00,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 13:10:02,2020-01-01 13:04:00,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 13:15:02,2020-01-01 13:14:09,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 13:20:03,2020-01-01 13:17:01,LEINSTER STREET SOUTH,30,11,19,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 13:25:02,2020-01-01 13:21:19,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 13:30:02,2020-01-01 13:29:41,LEINSTER STREET SOUTH,30,11,19,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 13:35:02,2020-01-01 13:30:18,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 13:40:02,2020-01-01 13:30:18,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 13:45:02,2020-01-01 13:40:26,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 13:50:02,2020-01-01 13:40:26,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 13:55:02,2020-01-01 13:50:36,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 14:00:02,2020-01-01 13:50:36,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 14:05:02,2020-01-01 14:00:44,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 14:10:01,2020-01-01 14:08:26,LEINSTER STREET SOUTH,30,13,17,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 14:15:02,2020-01-01 14:14:46,LEINSTER STREET SOUTH,30,12,18,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 14:20:02,2020-01-01 14:14:46,LEINSTER STREET SOUTH,30,12,18,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 14:25:02,2020-01-01 14:24:56,LEINSTER STREET SOUTH,30,12,18,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 14:30:02,2020-01-01 14:24:56,LEINSTER STREET SOUTH,30,12,18,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 14:35:02,2020-01-01 14:24:56,LEINSTER STREET SOUTH,30,12,18,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 14:40:02,2020-01-01 14:36:50,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 14:45:02,2020-01-01 14:36:50,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 14:50:02,2020-01-01 14:46:04,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 14:55:02,2020-01-01 14:52:12,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 15:00:27,2020-01-01 14:57:41,LEINSTER STREET SOUTH,30,8,22,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 15:05:02,2020-01-01 15:02:30,LEINSTER STREET SOUTH,30,9,21,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 15:10:02,2020-01-01 15:08:04,LEINSTER STREET SOUTH,30,9,21,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 15:15:02,2020-01-01 15:14:13,LEINSTER STREET SOUTH,30,9,21,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 15:20:02,2020-01-01 15:14:13,LEINSTER STREET SOUTH,30,9,21,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 15:25:02,2020-01-01 15:24:22,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 15:30:02,2020-01-01 15:24:22,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 15:35:02,2020-01-01 15:32:22,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 15:40:02,2020-01-01 15:32:22,LEINSTER STREET SOUTH,30,10,20,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 15:45:02,2020-01-01 15:42:31,LEINSTER STREET SOUTH,30,11,19,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 15:50:02,2020-01-01 15:42:31,LEINSTER STREET SOUTH,30,11,19,Open,Leinster Street South,53.342178,-6.254485
