STATION ID,TIME,TWO WEEKS AHEAD,TEN DAYS AHEAD,ONE WEEK AHEAD,THREE DAYS AHEAD,ONE DAY AHEAD,FOUR AHEAD,THREE AHEAD,TWO AHEAD,ONE AHEAD,AVAILABLE BIKES,ONE LATER,TWO LATER,TARGET
21,2020-02-06 19:15:02,17,5,20,13,20,23,26,27,27,12,11.84,11.42,8
21,2020-02-06 19:20:02,20,5,20,16,18,23,27,28,28,12,11.84,11.41,8
21,2020-02-06 19:25:02,20,4,19,15,17,26,27,28,28,11,10.78,10.27,7
21,2020-02-06 19:30:02,20,7,19,15,13,27,28,12,12,9,8.74,8.15,7
21,2020-02-06 19:35:02,20,8,19,14,12,27,28,12,12,9,8.72,8.12,5
21,2020-02-06 19:40:02,21,7,19,12,12,28,12,12,12,9,8.76,8.54,5
21,2020-02-06 19:45:02,21,5,19,11,11,28,12,11,11,8,7.76,7.52,3
21,2020-02-06 19:50:03,21,3,19,11,10,12,12,9,9,8,8.04,8.03,3
21,2020-02-06 19:55:02,21,3,17,10,9,12,11,9,9,7,7.03,7.02,2
21,2020-02-06 20:00:02,21,3,17,10,8,12,9,9,9,7,7.03,7.06,0
21,2020-02-06 20:05:02,19,2,16,10,7,11,9,8,8,5,5.05,5.06,0
21,2020-02-06 20:10:02,18,0,11,10,7,9,9,8,8,5,5.07,5.08,0
21,2020-02-06 20:15:02,18,0,10,11,5,9,8,7,7,3,3.07,3.08,0
21,2020-02-06 20:20:02,17,0,11,11,5,9,8,7,7,3,3.07,3.08,0
21,2020-02-06 20:25:02,19,0,9,10,4,8,7,5,5,2,2.09,2.12,0
21,2020-02-06 20:30:02,19,0,9,10,3,8,7,5,5,0,0.1,0.1,0
21,2020-02-06 20:35:02,18,0,8,9,3,7,5,3,3,0,0.11,0.17,0
21,2020-02-06 20:40:02,16,0,8,10,2,7,5,3,3,0,0.1,0.15,0
21,2020-02-06 20:45:02,16,0,7,10,2,5,3,2,2,0,0.14,0.27,0
21,2020-02-06 20:50:02,16,0,7,9,2,5,3,0,0,0,0.14,0.26,0
21,2020-02-06 20:55:02,14,0,7,9,2,3,2,0,0,0,0.17,0.34,0
21,2020-02-06 21:00:02,12,0,6,9,2,3,0,0,0,0,0.17,0.38,0
21,2020-02-06 21:05:02,12,0,6,9,1,2,0,0,0,0,0.18,0.4,1
21,2020-02-06 21:10:02,11,0,5,7,0,0,0,0,0,0,0.2,0.42,0
21,2020-02-06 21:15:02,9,0,5,7,0,0,0,0,0,0,0.19,0.41,1
21,2020-02-06 21:20:02,9,0,3,6,0,0,0,0,0,0,0.18,0.38,1
21,2020-02-06 21:25:02,8,1,2,5,1,0,0,0,0,0,0.18,0.38,1
21,2020-02-06 21:30:02,8,0,1,5,1,0,0,0,0,0,0.18,0.37,1
21,2020-02-06 21:35:03,7,0,0,4,1,0,0,0,0,1,1.16,1.35,1
21,2020-02-06 21:40:02,7,0,0,3,0,0,0,0,0,0,0.16,0.32,1
21,2020-02-06 21:45:02,7,0,0,2,0,0,0,0,0,1,1.15,1.32,0
21,2020-02-06 21:50:02,7,0,0,0,0,0,0,0,0,1,1.14,1.3,1
21,2020-02-06 21:55:02,6,0,0,0,0,0,0,1,1,1,1.14,1.29,1
21,2020-02-06 22:00:02,6,0,0,0,0,0,0,0,0,1,1.14,1.29,1
21,2020-02-06 22:05:02,6,0,0,0,0,0,1,1,1,1,1.13,1.26,1
21,2020-02-06 22:10:02,6,0,0,0,0,0,0,1,1,1,1.14,1.29,1
21,2020-02-06 22:15:02,2,0,0,0,0,1,1,1,1,0,0.11,0.21,1
21,2020-02-06 22:20:02,2,0,0,0,0,0,1,1,1,1,1.12,1.24,1
21,2020-02-06 22:25:02,0,0,0,0,0,1,1,1,1,1,1.1,1.2,1
21,2020-02-06 22:30:02,0,0,0,0,0,1,1,1,1,1,1.1,1.2,0
21,2020-02-06 22:35:02,0,0,0,0,0,1,1,0,0,1,1.1,1.2,0
21,2020-02-06 22:40:02,0,0,0,0,4,1,1,1,1,1,1.13,1.26,0
21,2020-02-06 22:45:02,0,0,0,0,4,1,0,1,1,1,1.13,1.29,0
21,2020-02-06 22:50:02,0,0,0,0,3,1,1,1,1,1,1.12,1.25,0
21,2020-02-06 22:55:02,0,0,0,0,2,0,1,1,1,1,1.13,1.26,0
21,2020-02-06 23:00:02,0,0,0,0,0,1,1,1,1,0,0.11,0.2,0
21,2020-02-06 23:05:02,0,0,0,0,0,1,1,1,1,0,0.11,0.2,0
21,2020-02-06 23:10:02,0,0,0,0,0,1,1,1,1,0,0.11,0.2,0
21,2020-02-06 23:15:02,0,0,0,0,0,1,1,1,1,0,0.11,0.2,0
21,2020-02-06 23:20:02,0,0,0,0,0,1,1,0,0,0,0.11,0.2,0
21,2020-02-06 23:25:01,0,0,0,0,0,1,1,0,0,0,0.11,0.2,0
21,2020-02-06 23:30:02,0,0,0,0,0,1,0,0,0,0,0.11,0.23,0
21,2020-02-06 23:35:02,0,0,0,0,0,1,0,0,0,0,0.11,0.23,0
21,2020-02-06 23:40:02,0,0,0,0,0,0,0,0,0,0,0.13,0.26,0
21,2020-02-06 23:45:02,0,0,0,0,0,0,0,0,0,0,0.13,0.26,0
21,2020-02-06 23:50:02,0,0,0,0,0,0,0,0,0,0,0.13,0.26,0
21,2020-02-06 23:55:02,0,0,0,0,0,0,0,0,0,0,0.13,0.26,0
21,2020-02-07 00:00:02,0,0,0,0,0,0,0,0,0,0,0.13,0.26,0
21,2020-02-07 00:05:03,0,0,0,0,0,0,0,0,0,0,0.13,0.26,0
21,2020-02-07 00:10:02,0,0,0,0,0,0,0,0,0,0,0.13,0.26,0
21,2020-02-07 00:15:02,0,0,0,0,0,0,0,0,0,0,0.13,0.26,0
21,2020-02-07 00:20:02,0,0,0,0,0,0,0,0,0,0,0.13,0.26,0
21,2020-02-07 00:25:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 00:30:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 00:35:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 00:40:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 00:45:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 00:50:04,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 00:55:03,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 01:00:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 01:05:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 01:10:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 01:15:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 01:20:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 01:25:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 01:30:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 01:35:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 01:40:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 01:45:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 01:50:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 01:55:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 02:00:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 02:05:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
21,2020-02-07 02:10:02,0,0,1,0,0,0,0,0,0,0,0.13,0.27,0
